"STUDENTID";"ACADYEAR";"SEMESTER";"CAMPUSID";"COURSEID";"CAMPUSNAME";"CURRIC";"COURSENAME";"SECTIONGROUP";"CREDIT";"GRADE"
316644;2555;2;2;"CS429";"RANGSIT";"521";"SELECTED TOPICS  IN  COMPUTER ARCHITECTURE";"020001";3;"A"
316644;2555;2;2;"CS459";"RANGSIT";"521";"SELECTED TOPICS IN INFORMATION SYSTEMS";"090001";3;"A"
316644;2555;2;2;"EL395";"RANGSIT";"521";"ACADEMIC ENGLISH 2";"040001";3;"C+"
316645;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"F"
316645;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"D"
316645;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100003";3;"D"
316645;2552;1;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"080001";3;"F"
316645;2552;1;2;"SC185";"RANGSIT";"521";"GENERAL PHYSICS  LABORATORY";"005401";1;"D+"
316645;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090005";3;"B"
316645;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"F"
316645;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";0;"W"
316645;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100003";3;"D"
316645;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";0;"W"
316645;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"D+"
316645;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"F"
316645;2552;2;2;"TU120";"RANGSIT";"521";"INTEGRATED SOCIAL SCIENCES";"870001";3;"D"
316645;2552;2;2;"TU130";"RANGSIT";"521";"INTEGRATED SCIENCES AND TECHNOLOGY";"230001";3;"C"
316646;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"C"
316646;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"D"
316646;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100003";3;"D+"
316646;2552;1;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"080001";3;"F"
316646;2552;1;2;"SC185";"RANGSIT";"521";"GENERAL PHYSICS  LABORATORY";"005401";1;"D+"
316646;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090005";3;"C+"
316646;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"F"
316646;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";0;"W"
316646;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100003";3;"F"
316646;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";0;"W"
316646;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"C+"
316646;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"D"
316646;2552;2;2;"TU120";"RANGSIT";"521";"INTEGRATED SOCIAL SCIENCES";"870001";3;"D+"
316647;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"C"
316647;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"D+"
316647;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100003";3;"D+"
316647;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090005";3;"C+"
316647;2552;1;2;"TU130";"RANGSIT";"521";"INTEGRATED SCIENCES AND TECHNOLOGY";"540001";3;"D+"
316647;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"D"
316647;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";4;"F"
316647;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100003";3;"F"
316647;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";0;"W"
316647;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"C"
316647;2552;2;2;"SC123";"RANGSIT";"521";"FUNDAMENTAL CHEMISTRY";"070001";3;"F"
316647;2552;2;2;"SC173";"RANGSIT";"521";"FUNDAMENTAL CHEMISTRY   LABORATORY";"008101";1;"C"
316647;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"D"
316757;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"C"
316757;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"C"
316757;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100006";3;"D+"
316757;2552;1;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"080001";3;"F"
316757;2552;1;2;"SC185";"RANGSIT";"521";"GENERAL PHYSICS  LABORATORY";"005401";1;"D+"
316757;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090007";3;"D"
316757;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"D"
316757;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";4;"D"
316757;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";0;"W"
316757;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"C+"
316757;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"D"
316757;2552;2;2;"TU120";"RANGSIT";"521";"INTEGRATED SOCIAL SCIENCES";"870001";3;"D"
321848;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"B+"
321848;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"C+"
321848;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100008";3;"C+"
321848;2552;1;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"080001";3;"B"
321848;2552;1;2;"SC185";"RANGSIT";"521";"GENERAL PHYSICS  LABORATORY";"005401";1;"B+"
321848;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090009";3;"A"
321848;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"A"
321848;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";4;"B+"
321848;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100008";3;"B+"
321848;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";3;"A"
321848;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"C+"
321848;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"C+"
321848;2552;2;2;"TU120";"RANGSIT";"521";"INTEGRATED SOCIAL SCIENCES";"870001";3;"D+"
